student_id,age,gender,department,semester,income_bracket,internet_access,part_time_job,first_gen_student,prev_cgpa,attendance_pct,study_hours_per_week,assignment_completion_pct,midterm_score,num_backlogs,participation_score,library_hours_per_week,extracurricular_activities,sleep_hours_per_night,stress_level,teacher_interaction,final_cgpa,final_grade,performance
STU01001,20,Male,Civil,3,Lower-Middle,1,0,0,7.22,77.2,15.6,67.6,78.5,4,7.9,4.3,4,8.4,1.7,1,7.06,B,Pass
STU01002,18,Female,Computer Science,7,Low,0,1,1,7.39,80.7,10.6,71.6,79.5,1,8.3,1.6,3,6.7,1.7,2,7.11,B,Pass
STU01003,22,Female,Computer Science,7,High,0,0,0,6.53,82.0,16.2,68.3,55.8,2,6.8,6.2,5,8.6,1.8,0,7.11,B,Pass
STU01004,24,Female,Electronics,3,Upper-Middle,1,1,0,6.0,56.7,15.0,54.1,62.9,1,6.3,6.0,4,7.7,1.2,1,6.43,C,Pass
STU01005,23,Male,Mechanical,6,High,0,0,0,4.92,69.3,6.4,55.7,48.8,2,4.5,5.2,0,8.2,6.8,2,5.01,D,Pass
STU01006,24,Male,Civil,3,Lower-Middle,1,1,1,6.3,69.3,7.9,54.1,79.9,1,6.2,0.0,0,4.3,4.0,1,5.87,D,Pass
STU01007,20,Male,Civil,1,Middle,0,0,0,7.82,80.4,14.7,58.3,80.0,0,7.6,5.6,5,6.8,3.2,0,7.83,B,Pass
STU01008,19,Female,Electronics,1,Upper-Middle,1,1,0,6.29,79.9,8.5,54.0,70.3,1,3.6,4.9,0,5.5,6.7,0,5.96,D,Pass
STU01009,24,Female,Electronics,6,Lower-Middle,0,0,0,6.89,64.9,7.3,50.1,74.2,5,6.4,2.6,0,8.2,3.2,2,5.54,D,Pass
STU01010,20,Female,Business,8,Upper-Middle,1,1,1,7.81,70.9,16.5,60.8,100.0,1,6.3,3.5,3,5.9,3.7,2,8.08,A,Pass
STU01011,20,Male,Electronics,5,High,1,0,0,7.88,63.9,16.4,59.4,100.0,2,8.1,4.5,3,8.8,2.1,0,8.19,A,Pass
STU01012,19,Female,Mechanical,8,High,1,0,1,5.8,64.6,9.1,56.0,64.7,2,6.5,3.8,3,7.1,2.9,0,5.52,D,Pass
STU01013,21,Female,Computer Science,2,Upper-Middle,1,0,1,8.5,93.1,10.2,52.3,83.5,1,8.4,3.3,4,7.0,2.9,2,7.59,B,Pass
STU01014,21,Male,Civil,8,Lower-Middle,1,0,0,8.67,82.4,10.6,85.2,83.5,2,6.7,4.6,5,6.6,4.6,2,8.02,A,Pass
STU01015,18,Male,Civil,4,Lower-Middle,1,0,1,5.73,57.9,8.8,65.6,62.0,2,6.8,5.6,0,6.8,2.3,0,6.1,C,Pass
STU01016,18,Male,Computer Science,8,High,1,1,0,6.13,66.8,7.8,64.5,62.0,1,7.2,2.7,2,6.5,5.6,1,6.1,C,Pass
STU01017,21,Male,Computer Science,4,Low,1,1,1,8.75,71.8,13.5,82.2,99.7,1,4.6,6.9,5,6.1,5.0,2,8.5,A,Pass
STU01018,23,Female,Civil,6,Upper-Middle,1,0,0,7.01,66.0,14.1,49.9,85.2,1,6.8,5.1,2,6.5,3.2,1,7.43,B,Pass
STU01019,22,Male,Civil,1,Upper-Middle,1,1,0,4.31,64.7,7.8,77.7,57.8,1,8.0,3.9,0,5.8,3.6,2,5.55,D,Pass
STU01020,20,Male,Electronics,7,Middle,1,0,0,5.38,57.5,11.9,44.9,77.9,3,7.4,4.4,1,8.8,4.3,1,5.88,D,Pass
STU01021,22,Female,Business,4,High,1,0,0,6.88,83.3,7.8,72.4,91.0,4,7.2,3.9,5,9.0,3.7,1,6.87,C,Pass
STU01022,20,Male,Computer Science,1,Lower-Middle,1,1,1,5.69,67.9,7.3,48.0,63.6,2,6.9,4.0,4,5.7,4.9,1,5.29,D,Pass
STU01023,21,Male,Electronics,5,Lower-Middle,1,0,0,6.66,74.0,12.6,64.5,87.4,2,8.1,5.7,2,7.8,2.0,2,7.56,B,Pass
STU01024,18,Male,Business,2,Low,1,1,1,7.24,74.0,12.8,68.3,77.8,0,5.0,4.9,5,5.4,6.1,1,7.47,B,Pass
STU01025,23,Male,Electronics,5,Middle,1,0,0,9.1,91.7,19.8,73.5,100.0,0,8.3,1.9,5,6.7,3.5,1,9.18,A+,Pass
STU01026,18,Female,Mechanical,6,Lower-Middle,1,0,1,6.82,80.4,11.9,75.4,87.5,1,4.1,5.5,3,5.9,7.9,1,7.49,B,Pass
STU01027,22,Male,Electronics,8,Lower-Middle,1,0,0,8.59,85.7,19.7,72.4,100.0,2,8.6,4.0,1,8.0,2.6,2,9.02,A+,Pass
STU01028,18,Male,Electronics,8,Upper-Middle,1,0,0,9.06,89.8,16.7,68.7,100.0,0,6.9,5.1,3,7.5,6.0,1,9.64,A+,Pass
STU01029,21,Female,Business,3,High,1,0,0,9.06,83.6,18.3,64.5,95.8,1,7.1,2.9,1,7.7,3.6,1,9.25,A+,Pass
STU01030,23,Male,Electronics,3,Lower-Middle,1,1,1,7.57,82.2,11.2,77.4,68.0,3,6.3,6.9,1,7.1,2.3,1,6.54,C,Pass
STU01031,22,Female,Business,3,Middle,0,1,0,4.65,60.5,6.3,49.8,52.4,4,6.0,3.5,4,5.3,10.0,0,3.58,F,Fail
STU01032,23,Male,Computer Science,5,High,1,1,0,7.8,79.0,15.3,76.6,100.0,2,7.3,5.1,5,5.9,2.1,0,7.61,B,Pass
STU01033,20,Male,Computer Science,4,Low,1,0,0,8.56,80.6,19.0,80.6,96.2,0,8.2,8.8,3,7.4,1.0,1,9.52,A+,Pass
STU01034,18,Female,Computer Science,2,Low,1,0,1,7.09,71.8,13.4,46.4,88.7,3,8.5,5.8,3,6.7,1.0,1,7.28,B,Pass
STU01035,23,Female,Civil,3,Lower-Middle,1,0,0,9.47,81.8,15.7,80.4,100.0,0,7.2,5.9,2,7.1,7.7,2,9.44,A+,Pass
STU01036,19,Female,Electronics,6,Middle,1,0,0,8.32,85.3,17.8,91.8,93.0,1,4.8,6.9,5,6.2,8.0,2,8.6,A,Pass
STU01037,18,Male,Business,6,Lower-Middle,1,0,0,7.94,90.2,6.3,76.6,92.2,3,9.5,2.3,0,8.3,2.4,2,7.57,B,Pass
STU01038,20,Male,Mechanical,3,High,1,1,1,8.61,92.4,10.0,81.4,59.8,0,5.4,2.1,0,7.1,4.7,1,7.17,B,Pass
STU01039,23,Female,Business,8,Middle,1,0,1,7.63,68.1,14.3,71.2,74.0,4,5.8,6.7,2,8.2,3.7,2,6.78,C,Pass
STU01040,22,Male,Computer Science,3,Middle,1,0,0,4.0,70.3,5.0,59.4,36.9,0,5.8,2.4,1,7.7,1.0,0,4.65,F,Fail
STU01041,20,Male,Business,2,Lower-Middle,1,0,0,6.55,70.2,11.9,63.9,66.5,4,6.5,1.9,2,5.9,6.7,0,5.67,D,Pass
STU01042,19,Male,Civil,3,Middle,1,0,0,8.76,88.6,14.7,60.0,99.1,2,5.5,6.2,2,6.5,6.4,0,8.63,A,Pass
STU01043,23,Male,Civil,2,Upper-Middle,1,0,0,6.15,63.5,11.0,59.5,73.3,3,4.2,4.4,3,6.3,3.1,1,5.81,D,Pass
STU01044,24,Female,Business,6,Upper-Middle,1,1,0,6.91,75.7,8.4,70.4,77.3,1,6.8,6.1,2,5.9,4.9,1,6.38,C,Pass
STU01045,24,Male,Civil,3,Upper-Middle,1,0,1,5.84,71.7,10.4,68.2,73.2,2,5.4,4.5,1,8.1,3.4,1,6.36,C,Pass
STU01046,21,Female,Mechanical,5,Middle,1,1,0,9.52,75.7,19.0,76.1,97.5,1,8.8,4.9,0,4.7,4.2,1,9.26,A+,Pass
STU01047,18,Male,Computer Science,7,High,1,0,1,9.39,91.8,19.4,67.3,94.2,3,6.8,4.1,4,6.4,3.1,1,8.4,A,Pass
STU01048,22,Female,Computer Science,5,Upper-Middle,1,0,0,6.05,81.0,15.1,63.3,78.5,1,5.5,7.4,5,6.6,4.2,1,7.64,B,Pass
STU01049,21,Female,Business,6,Upper-Middle,1,0,1,7.39,75.6,12.5,84.3,75.8,1,9.3,4.7,2,5.7,3.0,1,7.48,B,Pass
STU01050,23,Male,Mechanical,2,Low,1,1,0,6.32,82.5,10.5,68.0,55.4,1,7.8,2.8,5,6.4,5.4,0,5.99,D,Pass
STU01051,24,Female,Civil,5,Low,1,1,0,8.0,78.5,8.4,69.1,91.8,1,10.0,2.4,2,5.9,3.4,0,7.1,B,Pass
STU01052,24,Female,Mechanical,2,Lower-Middle,1,0,0,7.86,86.1,11.1,71.0,98.2,1,4.4,6.3,5,8.1,2.8,1,8.23,A,Pass
STU01053,24,Female,Computer Science,5,Upper-Middle,1,0,0,8.26,63.5,12.9,49.9,100.0,0,6.5,5.6,3,6.7,4.0,0,8.68,A,Pass
STU01054,23,Female,Computer Science,5,Middle,1,0,0,7.63,97.5,15.4,94.7,89.4,1,8.6,7.3,3,7.5,2.7,1,9.03,A+,Pass
STU01055,24,Female,Civil,2,Middle,1,0,1,10.0,100.0,15.2,74.7,100.0,1,8.0,5.9,5,7.1,3.0,2,9.35,A+,Pass
STU01056,20,Female,Electronics,4,High,1,1,1,5.86,67.0,11.1,49.0,81.9,0,5.8,3.1,2,4.0,6.9,1,6.46,C,Pass
STU01057,23,Male,Computer Science,5,High,1,0,0,4.98,49.1,6.9,45.0,49.7,3,7.3,5.8,2,5.6,4.0,1,4.64,F,Fail
STU01058,22,Male,Mechanical,3,High,0,0,0,6.69,75.7,9.8,45.4,84.4,2,7.5,3.4,1,7.4,2.5,2,6.98,C,Pass
STU01059,21,Male,Computer Science,7,Lower-Middle,1,0,0,5.16,54.3,8.1,46.0,61.7,2,3.2,4.6,0,7.3,2.6,1,4.63,F,Fail
STU01060,22,Male,Mechanical,6,Upper-Middle,1,0,0,5.26,69.9,6.3,52.2,66.8,2,5.2,4.5,0,6.9,4.3,0,5.82,D,Pass
STU01061,19,Male,Electronics,4,Lower-Middle,1,0,0,5.9,72.8,7.5,69.8,66.1,1,4.9,3.3,4,8.3,5.4,1,6.08,C,Pass
STU01062,24,Male,Civil,2,Lower-Middle,1,0,1,6.0,62.5,3.9,50.8,73.6,0,5.9,0.5,0,7.5,3.5,1,6.36,C,Pass
STU01063,19,Female,Electronics,4,Lower-Middle,1,1,1,5.96,78.8,8.2,76.1,67.7,1,8.4,2.4,4,7.8,2.1,1,6.57,C,Pass
STU01064,18,Male,Mechanical,1,Lower-Middle,1,1,1,7.87,85.8,11.3,85.5,69.7,2,6.7,5.4,3,4.0,4.4,2,7.24,B,Pass
STU01065,18,Male,Computer Science,1,Middle,1,0,0,6.54,80.5,8.5,76.1,85.1,0,6.6,4.4,4,8.7,1.0,0,7.33,B,Pass
STU01066,19,Female,Computer Science,5,Upper-Middle,1,1,1,6.97,74.9,12.2,62.8,68.9,4,5.3,6.6,4,5.6,6.8,1,6.17,C,Pass
STU01067,23,Male,Electronics,5,Low,1,0,1,8.36,70.5,15.7,63.7,100.0,0,7.7,7.4,0,7.0,4.2,1,8.48,A,Pass
STU01068,22,Female,Mechanical,3,Upper-Middle,1,0,0,6.2,78.8,10.1,52.1,68.9,4,8.8,2.6,2,8.2,3.6,2,5.95,D,Pass
